
% Title: ARFF file for 2008Code
%arff file of 2008 coding, contains only the article name and the date of the article
%Created by Rachel Warren
 
@RELATION 2008Code
 
 %attribute declarations
@ATTRIBUTE title STRING
@ATTRIBUTE date DATE "yyyy-MM-dd"
@ATTRIBUTE factchecking NUMERIC
@data
'...while obama discusses his tax plans', "2008-10-01", 1
'3 a.m.\' mccain ad uses clinton clips', "2008-08-27", 1
'\"6 things obama must do between now and nov. 4; the keys: get tough, inspire confidence\"', "2008-08-29", 0
'\"a canceled obama visit, and the story behind it\"', "2008-07-29", 1
'a message from john mccain', "2008-09-12", 1
'\"a new landscape, the same proposals\"', "2008-09-23", 0
'\"a positively negative home stretch; mccain, obama break tradition by staying on the attack\"', "2008-11-03", 0
'a sharp attack on obama', "2008-09-13", 1
'a way back to the high road?;', "2008-08-07", 1
'ad calls mccain\'s campaign \'dishonorable\'; obama on offensive to regain traction', "2008-09-16", 0
'ad confronts the inevitable', "2008-07-29", 1
'ad on sex education distorts obama policy', "2008-09-11", 1
'\"after midsummer\'s silliness, a purpose-driven campaign?\"', "2008-08-20", 1
'america\'s commercials at the olympics', "2008-08-25", 0
'an emphasis on energy', "2008-07-09", 1
'applying a personal touch to the campaign', "2008-06-23", 0
'\"as aides map aggressive race, mccain often steers off course\"', "2008-07-31", 1
'\"as an issue, taxes favor obama; polls lean toward democrat on a traditional gop strength\"', "2008-10-24", 1
'assailing with energy', "2008-07-09", 0
'attacking obama\'s associations', "2008-10-11", 1
'\"attacks, counterattacks are order of day; candidates trade hostile charges increasingly\"', "2008-08-01", 0
'\"barack obama, john mccain and the language of race\"', "2008-09-22", 0
'biden sinks his teeth into new role; obama\'s vp pick assumes position as \'attack dog\' and link to middle class', "2008-08-28", 0
'both campaigns distorting facts on money matters', "2008-10-16", 1
'both camps underscore choices', "2008-10-30", 1
'both candidates misleading tv viewers with attacks', "2008-10-08", 1
'both sides seeking to be what women want', "2008-09-15", 0
'\"bret baier, sharing his pride and joy\"', "2008-08-02", 0
'campaign slog 67 days to go!', "2008-08-29", 0
'campaign slog 70 days to go!', "2008-08-26", 1
'campaigns shift as mccain choice alters the race', "2008-08-31", 0
'campaigns tangle over health care', "2008-10-18", 1
'can obama run the offense?', "2008-07-29", 0
'can this planet be saved?', "2008-08-01", 1
'\"candidates\' comments center on economics; obama, mccain try to reassure voters on finances\"', "2008-09-17", 0
'candidates continue debate on relief for mortgage holders', "2008-10-09", 0
'\"candidates follow up on plan; both men talk to president, as well as members of their parties in congress\"', "2008-10-01", 0
'candidates paint each other as \'celebrity\' obama and \'more of the same\' mccain', "2008-08-07", 1
'candidates pin blame in financial \'crisis\'; but rivals don\'t agree on causes of wall st. woes', "2008-09-16", 0
'candidates pushing hard for the latino vote', "2008-07-14", 0
'clinton tells her supporters to back obama', "2008-08-26", 1
'\"clinton, fundraisers to meet with obama\"', "2008-06-18", 0
'closing the whopper gap', "2008-09-22", 1
'conservative group takes on obama in ad and film', "2008-07-22", 0
'continuing deception; mr. mccain\'s ads on taxes are just plain false.', "2008-08-31", 1
'crude campaigning', "2008-08-06", 1
'\"dangerous territory; as the campaigns plunge into the mud, how should voters evaluate their claims?\"', "2008-10-07", 1
'\"debates over, candidates begin final sprint\"', "2008-10-27", 0
'\"denver\'s not their party, but clintons still a focus; their words and actions could endure beyond \'08\"', "2008-08-26", 1
'dissecting the negatives', "2008-09-16", 1
'dollar bills and paris hilton; both presidential candidates are capable of better.', "2008-08-03", 1
'dubious claims in obama\'s ads', "2008-09-26", 1
'economic downturn sidelines donors to \'527\' groups', "2008-10-19", 0
'energy returns as major issue; obama links mccain to administration', "2008-08-06", 0
'extreme campaign makeover; the sound bite and the fury over the nominees\' houses', "2008-08-22", 0
'fact checkers find rivals\' ads low on truth', "2008-09-23", 1
'\"fighting cancer, kennedy adds an opening spark\"', "2008-08-26", 0
'flip-flops more fashionable this election; many due to changes in circumstances', "2008-08-08", 0
'\"for senate veteran, \'i\'m the underdog\'\"', "2008-08-22", 0
'g.o.p. commercial focuses on the bailout...', "2008-10-01", 1
'group plans ad criticizing obama\'s ties to ex-radical', "2008-08-22", 1
'groups play up obama link to \'60s radical; conservatives say weatherman bill ayers influenced candidate', "2008-08-26", 0
'hitting hard on debatable pointshitting hard on debatable points', "2008-09-23", 1
'houses add up to a snag for mccain; campaign has cast obama as elitist', "2008-08-22", 1
'immigration deception', "2008-09-19", 1
'\"in a red state, obama tackles issues of national security \"', "2008-07-17", 0
'\"in ads, gop stresses obama\'s ties to chicago developer; but nominee\'s relationship with rezko appears to be having little impact on voters, polls find\"', "2008-10-23", 1
'\"in biden, a life story to complement obama\'s; delaware senator could help lure working class, clinton supporters\"', "2008-08-25", 0
'\"in candidates, 2 approaches to wall street\"', "2008-09-16", 0
'\"in flag city usa, false obama rumors are flying\"', "2008-06-30", 0
'\"in racially aware akron, campaigns playing well so far\"', "2008-08-23", 0
'\"in spanish, mccain criticizes obama on immigration\"', "2008-09-16", 1
'\"in speech, obama refines his goal\"', "2008-08-27", 0
'independent groups fire barrages through ads; veterans blast obama; nurses go after palin', "2008-10-02", 1
'invoking the children', "2008-06-28", 0
'\"is paris, like, ready to lead?; hilton throws her hot into the ring\"', "2008-08-07", 1
'it\'s well past 3 a.m. do you remember the election\'s best ads?', "2008-11-03", 0
'joe the marketer responds to a category 5 hurricane', "2008-10-19", 0
'loan titans paid mccain adviser nearly $2 million', "2008-09-22", 1
'making america stupid', "2008-09-14", 0
'\"mccain ad paints obama as a celebrity, not a leader; ad watch: the mccain campaign\"', "2008-07-31", 0
'mccain ad says country is \'worse off\' than 4 years ago', "2008-08-06", 1
'mccain ad: clinton\'s \'truth hurt\'', "2008-08-25", 1
'mccain aide\'s firm was paid by freddie mac', "2008-09-24", 0
'mccain and obama urge greater oversight in a financial bailout plan', "2008-09-22", 0
'mccain and social security', "2008-09-24", 1
'mccain attack ad cheapens campaign. more to come?', "2008-07-29", 1
'mccain attack ads called inevitable -- and ineffective', "2008-10-14", 1
'mccain barbs stirring outcry as distortions', "2008-09-13", 1
