Table of contents for Lexis Coding Project creatd 2013-12-14
id 	 file_name 	 aticle_Title 	 article_Date 	 Classified_as 	 classProbability 	 date_Classified

1 	files/2008/newsWireClassification/notRelevent/article1	Vote for CO2	2008-11-04	0	0.0	2013-12-14
2 	files/2008/newsWireClassification/notRelevent/article2	Pop culture moments on the campaign trail Pop culture moments on the campaign trail, continued	2008-11-04	0	0.0	2013-12-14
3 	files/2008/newsWireClassification/notRelevent/article3	Election 2008; McCain; defiant,; Obama; confident; Campaigns seek; to energize voters; with 11th-hour blitz	2008-11-03	0	0.0	2013-12-14
4 	files/2008/newsWireClassification/notRelevent/article4	No title found	2008-11-03	0	0.0	2013-12-14
5 	files/2008/newsWireClassification/notRelevent/article5	Editorials from around the country	2008-11-03	0	0.0	2013-12-14
6 	files/2008/newsWireClassification/notRelevent/article6	Campaigns launch last-minute blitz Telephones, front doors and street corners are all targets for final presidential-race pitches	2008-11-03	0	0.0	2013-12-14
7 	files/2008/newsWireClassification/notRelevent/article7	Rock the Vote proves its potency as turnout boost	2008-11-02	0	0.0	2013-12-14
8 	files/2008/newsWireClassification/notRelevent/article8	Television by Joanne Ostrow A big race, mightily shaped by scenes on the small screen	2008-11-02	0	0.0	2013-12-14
9 	files/2008/newsWireClassification/notRelevent/article9	From the editorial; advisory board	2008-11-01	0	0.0	2013-12-14
10 	files/2008/newsWireClassification/notRelevent/article10	No title found	2008-11-01	0	0.0	2013-12-14
11 	files/2008/newsWireClassification/notRelevent/article11	Endorsements not related to the election	2008-11-01	0	0.0	2013-12-14
12 	files/2008/newsWireClassification/notRelevent/article12	An 'idiot wind'; McCain's attempt to link Obama to extremism	2008-11-01	0	0.0	2013-12-14
13 	files/2008/newsWireClassification/notRelevent/article13	No title found	2008-10-31	0	0.0	2013-12-14
14 	files/2008/newsWireClassification/notRelevent/article14	No title found	2008-10-30	0	0.0	2013-12-14
15 	files/2008/newsWireClassification/notRelevent/article15	Letters To The Editor	2008-10-26	0	0.0	2013-12-14
16 	files/2008/newsWireClassification/notRelevent/article16	OPEN FORUM - Letters To The Editor	2008-10-26	0	0.0	2013-12-14
17 	files/2008/newsWireClassification/notRelevent/article17	Letters To The Editor	2008-10-24	0	0.0	2013-12-14
18 	files/2008/newsWireClassification/notRelevent/article18	Nader speaks at CU Wednesday; Third-party candidate holds forth on process	2008-10-23	0	0.0	2013-12-14
19 	files/2008/newsWireClassification/notRelevent/article19	Election cash leaves Colo.	2008-10-23	0	0.0	2013-12-14
20 	files/2008/newsWireClassification/notRelevent/article20	McCain "fighting to win" Colorado GOP ad blitz, visit by candidate slated	2008-10-22	0	0.0	2013-12-14
21 	files/2008/newsWireClassification/notRelevent/article21	Intense courting of Colorado The state's unaffiliated ranks draw candidates in to make personal pleas to voters considered critical.	2008-10-20	0	0.0	2013-12-14
22 	files/2008/newsWireClassification/notRelevent/article22	Intense courting of Colorado The state's unaffiliated ranks draw candidates in to make personal pleas to voters considered critical.	2008-10-20	0	0.0	2013-12-14
23 	files/2008/newsWireClassification/notRelevent/article23	No title found	2008-10-19	0	0.0	2013-12-14
24 	files/2008/newsWireClassification/notRelevent/article24	Lessons from the crisis Some see '99 law as enabler, demand greater accountability	2008-10-19	0	0.0	2013-12-14
25 	files/2008/newsWireClassification/notRelevent/article25	World Series schedule could hurt Fox	2008-10-18	0	0.0	2013-12-14
26 	files/2008/newsWireClassification/notRelevent/article26	Letters To The Editor	2008-10-15	0	0.0	2013-12-14
27 	files/2008/newsWireClassification/notRelevent/article27	A good night for whiskey	2008-10-12	0	0.0	2013-12-14
28 	files/2008/newsWireClassification/notRelevent/article28	THE EXTRA MILE CAMPAIGN 2008 | With Obama and McCain virtually tied in Colorado and 23 days until the election, supporters scramble near and far to swing last-minute votes.	2008-10-12	0	0.0	2013-12-14
29 	files/2008/newsWireClassification/notRelevent/article29	But he's a maverick	2008-10-10	0	0.0	2013-12-14
30 	files/2008/newsWireClassification/notRelevent/article30	Campaign 2008 >> Second presidential debate Slinging, sympathizing	2008-10-08	0	0.0	2013-12-14
31 	files/2008/newsWireClassification/notRelevent/article31	Many undecided voters don't tune in until late Unaffiliated Colorado voters favor Obama in a new poll, but plenty stay on the fence.	2008-10-05	0	0.0	2013-12-14
32 	files/2008/newsWireClassification/notRelevent/article32	No title found	2008-10-04	0	0.0	2013-12-14
33 	files/2008/newsWireClassification/notRelevent/article33	The only life stories that matter: yours	2008-10-01	0	0.0	2013-12-14
34 	files/2008/newsWireClassification/notRelevent/article34	No title found	2008-09-30	0	0.0	2013-12-14
35 	files/2008/newsWireClassification/notRelevent/article35	What about delayed casualties?; Nation must pay more attention to its veterans	2008-09-29	0	0.0	2013-12-14
