
% Title: ARFF file for Titles
%arff file of 2008 titles, contains only the article name and the date of the article
%Created by Rachel Warren
 
@RELATION Titles
 
 %attribute declarations
@ATTRIBUTE title STRING
@ATTRIBUTE date DATE "yyyy-MM-dd"
@ATTRIBUTE was_coded NUMERIC
@data
'mccain mounts immediate attack on obama\'s record', "2008-06-04", 0
'the gas prices we deserve', "2008-06-05", 0
'clinton meets with obama after dousing talk of ticket', "2008-06-06", 0
'talk of war and family highlights mccain\'s kickoff commercial', "2008-06-07", 1
'\"in money race, obama has the advantage\"', "2008-06-07", 0
'obama is mapping a nationwide push in g.o.p. strongholds', "2008-06-08", 0
'want universal health care? the operative word is \'care.\'', "2008-06-08", 0
'it\'s a different country', "2008-06-09", 0
'treatment is right alternative for vets', "2008-06-09", 0
'former ally of gilmore to endorse warner; ex-del. callahan cites budget figures', "2008-06-09", 0
'attacking on loans', "2008-06-10", 0
'political books ride in on election\'s coattails; that makes it tough for other new titles', "2008-06-10", 0
'the trail', "2008-06-10", 0
'vetting a vetter: obama\'s pick fuels g.o.p. criticism', "2008-06-11", 0
'obama downplays vp vetter queries', "2008-06-11", 0
'obama\'s choice of insider draws fire; republicans assail head of vp vetting', "2008-06-11", 0
'barack\'s bad day', "2008-06-12", 0
'obama aide quits under fire for business ties', "2008-06-12", 0
'leader of obama\'s vp search team quits; former fannie mae chief was criticized over loan deals', "2008-06-12", 0
'are washington insiders necessary?', "2008-06-13", 0
'earmark spending makes a comeback; congress pledged curbs in 2007', "2008-06-13", 0
'let us now praise power brokers', "2008-06-13", 0
'town hall: mccain\'s comfort zone; campaign banks on meetings to give best forum for republican', "2008-06-13", 0
'\"in \'74 thesis, the seeds of mccain\'s war views\"', "2008-06-15", 0
'think the gender war is over? think again', "2008-06-15", 0
'gop incumbents are serving a familiar dish', "2008-06-15", 0
'remote clicks that do more than just change channels', "2008-06-16", 0
'\"no ordinary candidates, no typical campaign\"', "2008-06-16", 0
'ad track: new & notable', "2008-06-16", 0
'\"why the christian right fears obama; the language of faith isn\'t a foreign tongue to the senator of illinois. he talks the talk and easily engages believers. in fact, obama has a better footing with the religious-minded than competitor john mccain.\"', "2008-06-16", 0
'3 reasons to pick wesley clark for obama\'s vp', "2008-06-17", 0
'guilty of experience; the mindless flap over obama\'s vetter', "2008-06-17", 0
'mccain seeks to end offshore drilling ban', "2008-06-17", 0
'\"vietnam, iraq and john mccain\"', "2008-06-18", 0
'mccain showcases his environmental side', "2008-06-18", 1
'\"outside groups plan to spend heavily; mccain, obama frown on efforts by organizations to sway election\"', "2008-06-18", 1
'the court mccain wants', "2008-06-18", 0
'the reliable source', "2008-06-18", 0
'mccain\'s declaration of independence', "2008-06-18", 1
'\"clinton, fundraisers to meet with obama\"', "2008-06-18", 1
'audit says tanker deal is flawed', "2008-06-19", 0
'air force faulted over handling of tanker deal; audit sustains boeing\'s protest of $40 billion award', "2008-06-19", 0
'obama meets with labor leaders; presumptive democratic nominee works to overcome fallout from primaries', "2008-06-19", 0
'\"reversing stand, obama declines public financing\"', "2008-06-20", 0
'obama to reject public funds for election', "2008-06-20", 0
'\"inside the times: june 21, 2008\"', "2008-06-21", 0
'clinton campaign $22.5 million in debt at the end of last month', "2008-06-21", 0
'nothing sells like celebrity', "2008-06-22", 0
'\"now that we\'ve \'won,\' let\'s come home\"', "2008-06-22", 1
'a national push by obama on ads and turnout', "2008-06-22", 0
'\"mccain driving debate, but some fear swerving; gop insiders want more consistent theme\"', "2008-06-22", 1
'tv stations stand to gain in campaign; spending from both sides to help as other ads drop', "2008-06-22", 0
'applying a personal touch to the campaign', "2008-06-23", 1
'obama moves to reintroduce himself to voters', "2008-06-23", 1
'\'alex\' and the ad against the war', "2008-06-24", 0
'\"mccain\'s $300m lure for new, \'green\' car battery sparks buzz; energy proposal estimated to cost $1 per person\"', "2008-06-24", 0
'race in the sunlight', "2008-06-24", 1
'\'blank slate\' will wheel briefly into view', "2008-06-24", 0
'\"inside the times: june 25, 2008\"', "2008-06-25", 0
'mccain has plan to make government more green', "2008-06-25", 0
'\"on obama\'s coattails, an uninvited rider\"', "2008-06-26", 0
'\"justices, ruling 5-4, endorse personal right to own gun\"', "2008-06-27", 0
'the ever-malleable mr. obama', "2008-06-27", 1
'u.s. to delist north korea as sponsor of terrorism', "2008-06-27", 0
'justices reject d.c. ban on handgun ownership; 5-4 ruling finds 1976 law incompatible with second amendment', "2008-06-27", 0
'fox news finds its rivals closing in', "2008-06-28", 0
'invoking the children', "2008-06-28", 1
'mccain pitches a \'bipartisan\' plan for achieving energy security', "2008-06-28", 1
'\"inside the times: june 29, 2008\"', "2008-06-29", 0
'the oracle collective', "2008-06-29", 0
'political freelancers use web to join the attack', "2008-06-29", 0
'eureka! where do i cash the check?', "2008-06-29", 0
'\"\'\'it\'s over, lady!\'\'\"', "2008-06-29", 0
'poised for a flip', "2008-06-29", 0
'\"hearts, not minds; polls tell them what voters think, but moderators say the focus group reveals how emotion trumps analysis\"', "2008-06-30", 0
'\"in flag city usa, false obama rumors are flying\"', "2008-06-30", 1
'nixonian fallacy; oil futures and the folly of price controls', "2008-06-30", 0
'obama\'s money class', "2008-07-01", 0
'who\'s behind high prices', "2008-07-01", 0
'the wrong stuff', "2008-07-02", 0
'obama got discount on home loan; campaign defends lower rate as lender competition for business', "2008-07-02", 0
'the trail', "2008-07-03", 0
footnotes, "2008-07-04", 0
'\"inside the times: july 4, 2008\"', "2008-07-04", 0
'target: barack obama. strategy: what day is it?', "2008-07-04", 0
'u.s. workforce shrinks for 6th straight month; worries about the economy deepen', "2008-07-04", 0
'cashing in on obama and mccain', "2008-07-06", 0
'late-period limbaugh', "2008-07-06", 0
'\"mccain battles a nemesis, the teleprompter\"', "2008-07-06", 0
'veterans group for mccain', "2008-07-06", 1
'\"capturing the flag; it\'s not only still there, it\'s everywhere. at the polls and by the pool, the stars and stripes sells.\"', "2008-07-06", 0
'veterans hit the battlegrounds', "2008-07-06", 1
'\"inside the times: july 7, 2008\"', "2008-07-07", 0
'so where\'s murphy?', "2008-07-07", 0
'new group linked to g.o.p. unveils ad attacking obama', "2008-07-07", 1
'republicans look for edge on environmental issues', "2008-07-07", 1
'texas oilman wants to supplant oil with wind; t. boone pickens sees alternative energy as cure for oil addiction', "2008-07-08", 0
'risky business', "2008-07-08", 0
'summer of love.', "2008-07-09", 1
'obama says his critics haven\'t been listening', "2008-07-09", 1
'an emphasis on energy', "2008-07-09", 1
'mccain health plan and that high-risk pool', "2008-07-09", 0
'mccain and obama are boxed in by demagoguery on lobbying', "2008-07-09", 0
'candidates refine their stances on a changing iraq', "2008-07-09", 0
'assailing with energy', "2008-07-09", 1
'close kerry-mccain kinship has dissolved since 2004', "2008-07-09", 0
'mccain gets a third-rail shock', "2008-07-10", 1
'u.s. weighs takeover plan for two mortgage giants', "2008-07-11", 0
'\"friendly campaigning, only not so much\"', "2008-07-12", 0
'native tongues and more', "2008-07-12", 0
'emitters protection agency; the epa\'s call for public input on greenhouse gas regulation continues a pattern of avoidance.', "2008-07-12", 0
'ads hope to inject u.s. school challenges into white house race', "2008-07-13", 0
'emitters protection agency; the epa\'s call for public input on greenhouse gas regulation continues a pattern of avoidance.', "2008-07-13", 0
'kennan had a vision. things aren\'t so clear now.', "2008-07-13", 0
'more story than a loan merited', "2008-07-13", 0
'anheuser-busch agrees to be sold to a belgian brewer for $52 billion', "2008-07-14", 0
