Table of contents for Lexis Coding Project creatd 2013-12-14
id 	 file_name 	 aticle_Title 	 article_Date 	 Classified_as 	 classProbability 	 date_Classified

1 	files/notRelevent/article1	Obama and McCain Have Breakout Game	2008-11-04	0	files/2008/2008-1.html	2013-12-14
2 	files/notRelevent/article2	Beyond Election Day	2008-11-04	0	files/2008/2008-1.html	2013-12-14
3 	files/notRelevent/article3	Minute by Minute, a Final Hectic Day on the Campaign Trail	2008-11-04	0	files/2008/2008-1.html	2013-12-14
4 	files/notRelevent/article4	Obama Pays Tribute to His Grandmother After She Dies	2008-11-04	0	files/2008/2008-1.html	2013-12-14
5 	files/notRelevent/article5	Your Tube	2008-11-04	0	files/2008/2008-1.html	2013-12-14
6 	files/notRelevent/article6	The '08 Campaign: Sea Change for Politics as We Know It	2008-11-04	0	files/2008/2008-1.html	2013-12-14
7 	files/notRelevent/article7	Nominees Pack In Visits to G.O.P.-Leaning States as Campaign Closes	2008-11-04	0	files/2008/2008-1.html	2013-12-14
8 	files/notRelevent/article8	Senator mourns loss of his grandmother	2008-11-04	0	files/2008/2008-1.html	2013-12-14
9 	files/notRelevent/article9	Congressional Republicans Work to Thwart Democratic Gains	2008-11-04	0	files/2008/2008-1.html	2013-12-14
10 	files/notRelevent/article10	Running In Place: The Predictable Election	2008-11-04	0	files/2008/2008-1.html	2013-12-14
11 	files/notRelevent/article11	Potomac Confidential: Election Special	2008-11-04	0	files/2008/2008-1.html	2013-12-14
12 	files/notRelevent/article12	Analysis: Election Night 2008	2008-11-04	0	files/2008/2008-1.html	2013-12-14
13 	files/notRelevent/article13	Obama, Berman Win on 'Monday Night'	2008-11-04	0	files/2008/2008-1.html	2013-12-14
14 	files/notRelevent/article14	The Chat House with Michael Wilbon: Pittsburgh Fans Invade Landover; Sports News	2008-11-04	0	files/2008/2008-1.html	2013-12-14
15 	files/notRelevent/article15	Station Break: Election Overdose?; Pop Culture and More	2008-11-04	0	files/2008/2008-1.html	2013-12-14
16 	files/notRelevent/article16	Post Politics Hour; washingtonpost.com's Daily Politics Discussion	2008-11-04	0	files/2008/2008-1.html	2013-12-14
17 	files/notRelevent/article17	Campaigns Focus on States Their Parties Lost in 2004	2008-11-03	0	files/2008/2008-1.html	2013-12-14
18 	files/notRelevent/article18	Inside the Times, November 3, 2008	2008-11-03	0	files/2008/2008-1.html	2013-12-14
19 	files/notRelevent/article19	The Soiled Envelope, Please	2008-11-03	0	files/2008/2008-1.html	2013-12-14
20 	files/notRelevent/article20	Unauthorized Ad Reminds Voters About a Certain Pastor	2008-11-03	0	files/2008/2008-1.html	2013-12-14
21 	files/notRelevent/article21	Fox studio hosts brake for truck ad	2008-11-03	0	files/2008/2008-1.html	2013-12-14
22 	files/notRelevent/article22	Lobbyists go for congressional seats; Candidates say experiences will work in lawmaking	2008-11-03	0	files/2008/2008-1.html	2013-12-14
23 	files/notRelevent/article23	Candidates seek impact up to the end; Obama pursues votes of the working class	2008-11-03	0	files/2008/2008-1.html	2013-12-14
24 	files/notRelevent/article24	The Trail	2008-11-03	0	files/2008/2008-1.html	2013-12-14
25 	files/notRelevent/article25	A Positively Negative Home Stretch; McCain, Obama Break Tradition By Staying On the Attack	2008-11-03	0	files/2008/2008-1.html	2013-12-14
26 	files/notRelevent/article26	It's Well Past 3 a.m. Do You Remember the Election's Best Ads?	2008-11-03	0	files/2008/2008-1.html	2013-12-14
27 	files/notRelevent/article27	Cheney's Parting Gift	2008-11-03	0	files/2008/2008-1.html	2013-12-14
28 	files/notRelevent/article28	Critiquing the Press	2008-11-03	0	files/2008/2008-1.html	2013-12-14
29 	files/notRelevent/article29	Vote For ( )	2008-11-02	0	files/2008/2008-1.html	2013-12-14
30 	files/notRelevent/article30	Black Turnout May Hold Key	2008-11-02	0	files/2008/2008-1.html	2013-12-14
31 	files/notRelevent/article31	In Florida, Organizing and Fighting for Every Last Vote	2008-11-02	0	files/2008/2008-1.html	2013-12-14
32 	files/notRelevent/article32	First Real Race In a Generation	2008-11-02	0	files/2008/2008-1.html	2013-12-14
33 	files/notRelevent/article33	Tuesday Night's Party Lines	2008-11-02	0	files/2008/2008-1.html	2013-12-14
34 	files/notRelevent/article34	Disclosure About Obama's Aunt May Have Broken Federal Law	2008-11-02	0	files/2008/2008-1.html	2013-12-14
35 	files/notRelevent/article35	Colorado (9 electoral votes)	2008-11-02	0	files/2008/2008-1.html	2013-12-14
36 	files/notRelevent/article36	Discord on Economies In a World Of Trouble; Conflicts Emerge as Nations Seek Solutions	2008-11-02	0	files/2008/2008-1.html	2013-12-14
