no stemmer
MODEL A: 0.03854908315164898, lexisnumber
0.0, _000
0.02689931948622329, _1
0.0, _10
0.0, _100
0.0, _11
0.027544449166226895, _12
0.06791992250849244, _13
0.0, _14
0.03154891136301858, _15
0.03265705851763698, _150
0.0, _16
0.03317355970534172, _17
0.0, _18
0.0, _19
0.0, _1988
0.0, _1990s
0.0, _1992
0.013642157258575798, _2
0.03186693954948166, _20
0.0, _200
0.0, _2000
0.0, _2001
0.025308501131184918, _2002
0.0, _2003
0.0, _2004
0.0, _2005
0.0, _2006
0.0, _2007
0.0, _2008
0.033565454323593404, _21
0.0, _212
0.0, _22
0.0, _23
0.0, _24
0.024789594395107112, _25
0.0, _250
0.0, _26
0.0, _27
0.0, _28
0.0, _29
0.0, _3
0.0, _30
0.0, _300
0.0, _35
0.0, _4
0.0, _40
0.0, _400
0.0, _42
0.03265705851763698, _45
0.0, _47
0.03865392806993931, _5
0.015477889791645591, _50
0.07167289837946349, _500
0.0, _6
0.04482353841023599, _60
0.0, _65
0.021952996797069066, _7
0.0, _70
0.0, _700
0.03011606004468347, _75
0.0334482955200645, _8
0.029565437172845477, _80
0.0, _84
0.0, _9
0.0, _90
0.18616687311425725, ________________________
0.0, _abc
0.0, _ability
0.0, _abortion
0.0, _absolutely
0.0, _accept
0.0, _acceptance
0.06923294296270084, _access
0.0, _account
0.0, _accounting
0.0, _accounts
0.0, _accused
0.0, _accusing
0.0, _acknowledged
0.0, _acorn
0.020311289576527038, _act
0.0, _action
0.0, _activities
0.09682391025275806, _ad
0.0, _add
0.0, _added
0.0, _adding
0.030351640890067543, _addition
0.02354745106587791, _additional
0.0, _address
0.03011606004468347, _adds
0.0, _administration
0.0, _ads
0.0, _advantage
0.09696168922075234, _advertisement
0.0, _advertisements
0.0, _advertising
0.0, _advice
0.0, _adviser
0.0, _advisers
0.0, _advocacy
0.0, _afford
0.0, _afghanistan
0.0, _african
0.0, _afternoon
0.0, _age
0.07701402694884965, _agency
0.0, _agenda
0.0, _aggressive
0.0, _aggressively
0.0, _ago
0.0, _agree
0.0, _agreed
0.0, _agreement
0.0, _ahead
0.0, _aide
0.0, _aides
0.0, _aimed
0.0, _air
0.0, _aired
0.0, _airing
0.0, _airport
0.0, _al
0.0, _alaska
0.0, _album
0.0, _alex
0.0, _allen
0.0, _allies
0.0, _allowed
0.0, _alternative
0.0, _amendment
0.0, _america
0.0, _american
0.0, _americans
0.0, _amid
0.0, _amount
0.18616687311425725, _amy
0.0, _analysis
0.040164206542798474, _analyst
0.0, _analysts
0.0, _angeles
0.0, _anger
0.0, _angry
0.017422081504644568, _announced
0.0, _announcement
0.12019960390502478, _announcer
0.0, _annual
0.0, _answer
0.0, _answers
0.0, _anti
0.0, _apparently
0.0, _appeal
0.0, _appeals
0.0, _appearance
0.0, _appearances
0.0, _appeared
0.0, _appearing
0.0, _appears
0.0, _approach
0.0, _approval
0.0, _approved
0.0, _april
0.023909018749253472, _area
0.0, _areas
0.0, _aren
0.18616687311425725, _argetsinger
0.0, _argue
0.0, _argued
0.0, _arguing
0.0, _argument
0.0, _ariz
0.0, _arizona
0.0, _arms
0.0, _army
0.0, _arrived
0.07048080915334758, _art
0.0, _article
0.060006754228055396, _arts
0.0, _asked
0.0, _asks
0.0, _assets
0.0, _association
0.0, _attack
0.0, _attacking
0.0, _attacks
0.0, _attempt
0.0, _attention
0.0, _audience
0.0, _audiences
0.0, _aug
0.0, _august
0.0, _author
0.04151918150432167, _authority
0.052246270935691404, _avenue
0.0, _average
0.0, _avoid
0.0, _axelrod
0.0, _ayers
0.07701402694884965, _b1
0.0, _baby
0.0, _back
0.0, _backed
0.0, _background
0.0, _backing
0.1950722569027574, _bad
0.0, _bailout
0.0, _balance
0.0, _ballot
0.06791992250849244, _ballots
0.0, _ban
0.0, _band
0.026817449193878407, _bank
0.0, _banking
0.08077330361397526, _banks
0.0, _bar
0.0, _barack
0.0, _barely
0.0, _base
0.0, _based
0.0, _basic
0.0, _basis
0.0, _battle
0.0, _battleground
0.0, _beach
0.0, _bear
0.0, _beat
0.0, _beer
0.0, _began
0.0, _begin
0.0, _beginning
0.0, _begins
0.0, _begun
0.0, _behalf
0.06923294296270084, _beijing
0.0, _believed
0.0, _believes
0.0, _benefit
0.1950722569027574, _benefits
0.0, _berlin
0.02299850035478929, _bid
0.0, _biden
0.0, _big
0.0, _bigger
0.0, _biggest
0.0, _bill
0.0, _billion
0.0, _billions
0.0, _bills
0.0, _bipartisan
0.0, _bit
0.0, _black
0.0, _blame
0.0, _block
0.0, _blog
0.0, _blue
0.0, _board
0.0, _boat
0.026806058227166377, _bob
0.0, _body
0.0, _boeing
0.0, _book
0.0, _books
0.0, _boost
0.0, _born
0.0, _bottom
0.18616687311425725, _bought
0.03731199172310397, _bounds
0.0, _boy
0.0, _brand
0.0, _break
0.02421991867281884, _breaking
0.22603072596797574, _breaks
0.0, _brian
0.0, _bridge
0.0, _bright
0.0, _bring
0.02312172370547551, _bringing
0.10449878789329553, _britney
0.0, _broad
0.0, _broadcast
0.0, _broader
0.0, _broken
0.0, _brother
0.0, _brothers
0.0, _brought
0.0, _brown
0.0, _budget
0.0, _build
0.029348313152105322, _building
0.0, _built
0.0, _bus
0.0, _bush
0.016751768648135164, _business
0.0, _businesses
0.0, _buy
0.0, _buying
0.08253414994599774, _c1
0.0, _cable
0.0, _cal
0.0, _calif
0.0, _california
0.0, _call
0.0, _called
0.0, _calling
0.0, _calls
0.0, _camera
0.0, _camp
0.0, _campaign
0.0, _campaigned
0.0, _campaigning
0.0, _campaigns
0.0, _canceled
0.06791992250849244, _cancer
0.0, _candidacy
0.0, _candidate
0.015167861044781517, _candidates
0.0, _capital
0.0, _capitol
0.0, _car
0.0, _carbon
0.0, _card
0.0, _care
0.0, _career
0.0, _carefully
0.0, _carolina
0.0, _carried
0.0, _carry
0.0, _cars
0.0, _carter
0.0, _case
0.03778211489739854, _cases
0.029565437172845477, _cash
0.0, _cast
0.0, _caused
0.02807890837292119, _cbs
0.0, _celebrities
0.05863475931370335, _celebrity
0.0, _center
0.026835720145392792, _central
0.0, _century
0.028073639413368507, _chairman
0.0, _challenge
0.0, _challenges
0.0, _challenging
0.023311870891495737, _chance
0.0, _chances
0.0, _change
0.0, _changed
0.0, _changing
0.0, _channel
0.0, _character
0.0, _charge
0.0, _charged
0.0, _charges
0.0, _charles
0.0, _charlie
0.0, _check
0.0, _cheney
0.0, _chicago
0.0, _chief
0.0, _child
0.0, _children
0.05628916446102208, _china
0.0, _chinese
0.0, _choice
0.0, _choices
0.0, _choose
0.0, _chose
0.0, _chris
0.0, _christian
0.0, _church
0.0, _cindy
0.0, _cited
0.03778211489739854, _cities
0.0, _citizens
0.060006754228055396, _city
0.0, _civil
0.0, _claim
0.0, _claims
0.0, _class
0.06791992250849244, _clean
0.0, _clear
0.0, _climate
0.0, _clinton
0.011467464827930048, _close
0.0, _closed
0.0, _closely
0.0, _closing
0.0, _club
0.0, _cnn
0.0, _coal
0.0, _code
0.0, _coffee
0.0346772261022581, _cold
0.0, _collapse
0.0, _colleagues
0.0, _collected
0.0, _college
0.0, _colorado
0.0, _columbia
0.0, _column
0.0, _combined
0.0, _comfortable
0.0, _coming
0.0, _commander
0.0, _comment
0.0, _comments
0.0, _commercial
0.0, _commercials
0.022964238938852376, _commission
0.0, _commitment
0.0, _committed
0.0, _committee
0.06652968103629764, _committees
0.0, _common
0.0, _communications
0.0, _community
0.0, _companies
0.0, _company
0.0, _compared
0.0, _compete
0.0, _competition
0.0, _competitive
0.0, _completely
0.03129942293812851, _complex
0.0, _complicated
0.0, _comprehensive
0.0, _computer
0.0, _concern
0.0, _concerned
0.0, _concerns
0.0, _concluded
0.0, _conducted
0.0, _conference
0.0, _confidence
0.0, _confident
0.04286425757214244, _congress
0.0, _congressional
0.0, _connection
0.02331452170202814, _conservative
0.0, _conservatives
0.0, _considered
0.0, _consultant
0.0, _consumer
0.07048080915334758, _consumers
0.0, _content
0.0, _contest
0.0, _context
0.0, _continue
0.0, _continued
0.0, _continues
0.0, _contract
0.0, _contrast
0.0, _contributed
0.0, _contributions
0.021011862829919115, _control
0.0, _controversial
0.0, _controversy
0.0, _convention
0.0, _conventions
0.0, _conversation
0.1026702842408161, _convicted
0.0, _convince
0.0, _convinced
0.0, _cool
0.0, _corporate
0.0, _corporations
0.023042605906645967, _cost
0.02200112917761066, _costs
0.0, _couldn
0.0, _council
0.0, _count
0.0, _countries
0.011558441495089927, _country
0.02536853864238456, _county
0.0, _couple
0.0, _couric
0.0, _court
0.0, _cover
0.0, _coverage
0.0, _create
0.0, _created
0.0, _creating
0.0, _credit
0.0, _credits
0.0, _crisis
0.0, _critical
0.0, _criticism
0.0, _criticized
0.0, _critics
0.0, _crowd
0.0, _crowds
0.0, _crucial
0.0, _cultural
0.0, _culture
0.0, _current
0.03405317026864903, _customers
0.0, _cut
0.0, _cuts
0.0, _cutting
0.0, _cycle
0.0, _daily
0.0, _dan
0.0, _dance
0.0, _danger
0.0, _dangerous
0.0, _data
0.0, _date
0.0, _daughter
0.012637102179861536, _david
0.0, _davis
0.0, _day
0.0, _days
0.0, _de
0.0, _dead
0.040164206542798474, _deal
0.0, _dean
0.03577533813333271, _death
0.07391810206358597, _debate
0.0, _debates
0.0, _debt
0.0, _debut
0.0, _decade
0.0, _decades
0.0, _decide
0.0, _decided
0.0, _decision
0.0, _decisions
0.0, _declared
0.0, _decline
0.0, _declined
0.0, _deep
0.0, _deeply
0.0, _defeat
0.0, _defend
0.07701402694884965, _defense
0.0, _define
0.0, _delaware
0.0, _delegates
0.0, _deliver
0.0, _delivered
0.0, _demand
0.0642563942419875, _democracy
0.07167289837946349, _democrat
0.017254653359728495, _democratic
0.07986579687826346, _democrats
0.0, _denver
0.05081196441034555, _department
0.0, _deregulation
0.0, _designed
0.0, _details
0.0, _development
0.0, _didn
0.07167289837946349, _died
0.0, _difference
0.0, _differences
0.017396442767428837, _difficult
0.0, _dinner
0.0, _direct
0.0, _direction
0.0, _directly
0.033565454323593404, _director
0.0, _disaster
0.0, _discuss
0.0, _discussion
0.0, _discussions
0.0, _dismissed
0.0, _distance
0.07281665613681049, _district
0.0, _doesn
0.0, _dog
0.0, _dole
0.0, _dollar
0.016245951370185002, _dollars
0.0, _domestic
0.0, _don
0.0, _donations
0.0, _donors
0.0, _door
0.025522563268803002, _double
0.0, _doubt
0.0, _doubts
0.0, _douglas
0.0, _dozen
0.0, _dozens
0.0, _draw
0.0, _drawing
0.0, _drawn
0.0, _dream
0.0, _drew
0.18616687311425725, _drill
0.0, _drilling
0.0, _drive
0.0, _driven
0.0, _driving
0.0, _drop
0.0, _dropped
0.0, _drug
0.0, _eakin
0.0, _earlier
0.017815332579247563, _early
0.0, _earmarks
0.0, _easier
0.0, _easily
0.0, _east
0.0, _easy
0.0, _economic
0.0, _economics
0.0, _economist
0.0, _economists
0.0, _economy
0.0, _ed
0.06791992250849244, _edge
0.0, _editor
0.0, _editorial
0.0, _education
0.0, _effect
0.0, _effective
0.0, _effectively
0.0, _effort
0.0, _efforts
0.0, _elected
0.028306318652478103, _election
0.02365647393488006, _elections
0.020552084982954258, _electoral
0.0, _electorate
0.0, _electric
0.0, _electricity
0.0, _emissions
0.0, _employees
0.0, _end
0.0, _ended
0.0, _endorsed
0.0, _endorsement
0.0, _ends
0.0, _energy
0.0, _engaged
0.0, _english
0.0, _enormous
0.0, _entertainment
0.0, _enthusiasm
0.0, _entire
0.0, _environment
0.0, _environmental
0.0, _era
0.0, _essentially
0.0, _estate
0.0, _estimated
0.06652968103629764, _europe
0.07167289837946349, _european
0.0, _evening
0.0, _event
0.017422961622669837, _events
0.0, _eventually
0.0, _evidence
0.0, _exchange
0.02195602727709914, _executive
0.0, _executives
0.0, _expand
0.0, _expect
0.0252662759526299, _expected
0.0, _expensive
0.0, _experience
0.02723832691501234, _experts
0.0, _explain
0.0, _express
0.0, _expressed
0.0, _eye
0.0, _eyes
0.0, _face
0.0, _faced
0.027704389649998284, _faces
0.0, _facing
0.0, _fact
0.0, _factor
0.0, _facts
0.0, _failed
0.0, _failing
0.0, _failure
0.0, _fair
0.0, _faith
0.0, _fall
0.0, _falling
0.08588260377390479, _false
0.0, _familiar
0.0, _families
0.0, _family
0.0, _famous
0.0, _fannie
0.06791992250849244, _fans
0.0, _fast
0.0, _father
0.0, _favor
0.0, _favored
0.0, _favorite
0.0, _favors
0.0, _fear
0.0, _fears
0.0, _featured
0.0, _featuring
0.0, _february
0.0, _fed
0.0, _federal
0.0, _feel
0.0, _feeling
0.0, _feet
0.0, _fell
0.0, _fellow
0.0, _felt
0.0, _female
0.0, _fewer
0.01766555686209972, _field
0.0, _fight
0.0, _fighting
0.0, _figure
0.0, _figures
0.0, _fill
0.0, _film
0.0, _final
0.0, _finally
0.07391810206358597, _finance
0.0, _financial
0.0, _financing
0.02195602727709914, _find
0.0, _finding
0.0, _fine
0.0, _fire
0.0, _fired
0.0, _firm
0.0, _firms
0.0, _fiscal
0.02421991867281884, _fit
0.0, _fix
0.0, _fla
0.0, _flag
0.0, _fleck
0.0, _floor
0.0, _florida
0.0, _focus
0.0, _focused
0.0, _focusing
0.0, _folks
0.0, _follow
0.0, _food
0.06923294296270084, _football
0.0, _force
0.0, _forced
0.0, _forces
0.0, _ford
0.0, _foreign
0.033565454323593404, _form
0.0, _forum
0.0, _forward
0.0, _found
0.0, _foundation
0.0, _founder
0.0, _fox
0.04014113294291149, _frank
0.0, _franken
0.0, _fraud
0.0, _freddie
0.0, _free
0.0, _freedom
0.0, _frequently
0.0, _fresh
0.0, _friday
0.0, _friend
0.0, _friends
0.0, _front
0.025522563268803002, _fuel
0.0, _full
0.0, _fully
0.0, _fun
0.0, _fund
0.0, _fundamentals
0.0, _funding
0.0, _fundraiser
0.0, _fundraising
0.07893806718251932, _funds
0.0, _funny
0.0, _future
0.0, _gains
0.0, _game
0.04470817890548611, _games
0.0, _gap
0.0, _gas
0.0, _gasoline
0.0, _gathering
0.0, _gave
0.0, _gay
0.0, _gender
0.05363489793033209, _general
0.0, _generally
0.0, _generation
0.0, _george
0.0, _georgia
0.0, _germany
0.0, _giant
0.0, _giants
0.0, _gilmore
0.0, _girl
0.0, _give
0.0, _giving
0.0, _global
0.0, _goal
0.0, _god
0.0, _gold
0.0, _good
0.0, _google
0.0, _gop
0.0, _gore
0.0, _gov
0.032430640851371303, _government
0.0, _governor
0.0, _graham
0.0, _gramm
0.0, _grand
0.0, _great
0.0, _greater
0.0, _greatest
0.0, _green
0.0, _grew
0.0, _ground
0.0, _group
0.0, _groups
0.034704181078223754, _growing
0.0, _grown
0.0, _growth
0.0, _guest
0.0, _gun
0.0, _guy
0.0, _guys
0.0, _hair
0.013343415111090929, _half
0.0, _hall
0.0, _hampshire
0.0, _hand
0.0, _handful
0.0, _hands
0.0, _happen
0.0, _happened
0.0, _happy
0.0, _hard
0.0, _harder
0.0, _hart
0.0, _harvard
0.0, _hasn
0.0, _haven
0.0, _hawaii
0.0, _head
0.0, _headed
0.0, _headquarters
0.0, _heads
0.0, _health
0.0, _hear
0.0, _heard
0.0, _hearing
0.0, _heart
0.0, _heavily
0.0, _heavy
0.014017624688925616, _held
0.0, _helped
0.0, _helping
0.02421991867281884, _henry
0.0, _hero
0.0, _high
0.0, _higher
0.0, _highest
0.0, _highly
0.0, _hill
0.0, _hillary
0.0554599356627381, _hilton
0.0, _hired
0.0, _hispanic
0.0, _historic
0.0, _history
0.01944423822101409, _hit
0.02283706026953865, _hold
0.0, _holding
0.0, _holds
0.0, _hollywood
0.0, _holtz
0.0, _home
0.0, _homeowners
0.0, _homes
0.0, _honor
0.0, _hope
0.0, _hopes
0.0, _hoping
0.0, _hospital
0.0, _host
0.0, _hosts
0.027456462113914358, _hot
0.0, _hotel
0.0, _hour
0.0, _hours
0.0, _house
0.18616687311425725, _houses
0.0, _housing
0.0, _howard
0.0, _huge
0.04688165500506434, _human
0.028598599441409474, _hundreds
0.0, _hurricane
0.0, _hurt
0.0, _husband
0.0, _idea
0.0, _ideas
0.0, _ill
0.0, _illinois
0.0, _image
0.03859601591660706, _images
0.0, _imagine
0.0, _immediately
0.0, _immigration
0.0, _impact
0.0, _important
0.0, _improve
0.0, _include
0.0, _included
0.0, _includes
0.011174769683252345, _including
0.0, _income
0.0, _increase
0.0, _increased
0.0, _increasing
0.0, _increasingly
0.037277837072895156, _incumbent
0.0, _independence
0.0, _independent
0.0, _indiana
0.0, _individual
0.04546293451982155, _industry
0.0, _influence
0.054981453769265894, _information
0.02658775225738832, _initially
0.0, _inside
0.0, _instance
0.02453802032436208, _institute
0.0, _institution
0.0, _institutions
0.0, _insurance
0.0, _intelligence
0.0, _intended
0.0, _interest
0.0, _interested
0.0, _interests
0.031098524269439924, _international
0.0, _internet
0.0, _interview
0.0, _interviews
0.0, _introduced
0.0, _investment
0.0, _investments
0.04546293451982155, _investors
0.0, _involved
0.0, _iowa
0.0, _iran
0.0, _iraq
0.0, _island
0.0, _isn
0.0, _issue
0.0, _issued
0.0, _issues
0.0, _jackson
0.019557564349706274, _james
0.0, _january
0.0, _japan
0.0, _jell
0.0, _jim
0.0, _jimmy
0.0, _job
0.0, _jobs
0.0, _joe
0.0, _john
0.07167289837946349, _johnson
0.0, _join
0.0, _joined
0.0, _joint
0.0, _jon
0.0, _jones
0.0, _joseph
0.0, _journal
0.0, _journalists
0.0, _jr
0.0, _judge
0.0, _judges
0.0, _judgment
0.0, _july
0.0, _june
0.0, _justice
0.0, _kaine
0.0, _kansas
0.0, _keeping
0.0, _kennedy
0.0, _kerry
0.0, _key
0.0, _kids
0.0, _killed
0.0, _kind
0.0, _king
0.0, _kleiner
0.0, _knew
0.0, _knowledge
0.0, _korea
0.0, _labor
0.0, _lack
0.027456462113914358, _land
0.0, _language
0.0214134663168407, _large
0.07048080915334758, _largely
0.0, _larger
0.03141403136827674, _largest
0.0, _late
0.0, _latest
0.0, _latino
0.0, _launched
0.07281665613681049, _law
0.0, _lawmakers
0.0, _laws
0.0, _lawyer
0.0, _lead
0.0, _leader
0.016655436220904804, _leaders
0.0, _leadership
0.0, _leading
0.0, _league
0.0, _leaning
0.0, _learn
0.03060544650630225, _learned
0.1950722569027574, _learning
0.0, _leave
0.0, _leaving
0.0, _led
0.0, _left
0.0, _legal
0.0, _legislation
0.0, _legislative
0.0, _lending
0.0, _letter
0.0, _level
0.0, _levels
0.0, _liberal
0.0, _liberals
0.0, _liberty
0.0, _lieberman
0.0, _lies
0.0, _life
0.0, _light
0.0, _likes
0.0, _limbaugh
0.0, _limit
0.0, _limited
0.0, _limits
0.0, _lincoln
0.0, _line
0.0, _lines
0.0, _link
0.0, _lipstick
0.030139381341798995, _list
0.0, _listen
0.0, _live
0.07048080915334758, _lives
0.0, _living
0.0, _loan
0.07281665613681049, _loans
0.0, _lobbying
0.0, _lobbyist
0.0, _lobbyists
0.01769186204529722, _local
0.0, _london
0.0, _long
0.0, _longer
0.0, _longtime
0.0, _looked
0.026500949994326423, _los
0.0, _lose
0.0, _losing
0.0, _loss
0.0, _losses
0.0, _lost
0.0, _lot
0.0, _louis
0.0, _love
0.0, _low
0.0, _lower
0.0, _mac
0.0, _machine
0.0, _made
0.0, _mae
0.0, _magazine
0.0, _mail
0.0, _mails
0.0, _main
0.0, _mainstream
0.0, _major
0.0, _majority
0.0, _make
0.0, _makes
0.0, _making
0.0, _man
0.0, _managed
0.04915691819388525, _management
0.0, _manager
0.0, _manhattan
0.0, _map
0.0, _march
0.0, _margin
0.0, _mark
0.0, _market
0.0, _marketing
0.0, _markets
0.06791992250849244, _marriage
0.0, _martin
0.0, _mass
0.0, _massachusetts
0.0, _massive
0.0, _match
0.0, _mate
0.0, _matter
0.0, _matters
0.0, _maverick
0.0, _mayor
0.07840785638382246, _mccain
0.0, _meaning
0.0, _means
0.0, _meant
0.0, _measure
0.0, _media
0.0, _medical
0.0, _medicare
0.027722201991996126, _meet
0.0, _meeting
0.0, _meetings
0.0, _meltdown
0.0, _member
0.020916661801171185, _members
0.0, _men
0.0, _mention
0.0, _mentioned
0.0, _message
0.0, _messages
0.0, _met
0.0, _mexico
0.0, _michael
0.0, _michelle
0.0, _michigan
0.0, _mid
0.18616687311425725, _middle
0.0, _mike
0.06652968103629764, _miles
0.0, _military
0.0314248502186044, _million
0.0, _millions
0.0, _mind
0.0, _minds
0.0, _minister
0.0, _minnesota
0.0, _minute
0.0, _minutes
0.09743838721830154, _misleading
0.0, _miss
0.0650462833392975, _mission
0.0, _mississippi
0.0, _missouri
0.0, _mistake
0.0, _mitt
0.0, _mix
0.0, _model
0.0, _modern
0.0, _moment
0.0, _moments
0.0, _monday
0.0, _money
0.0, _montana
0.0, _month
0.030351640890067543, _months
0.0, _morning
0.0, _mortgage
0.0, _mortgages
0.0, _mother
0.0, _move
0.0, _moved
0.0, _movement
0.0, _moveon
0.0, _movie
0.0, _moving
0.0, _mr
0.0, _mrs
0.0, _ms
0.0, _msnbc
0.0, _music
0.0, _muslim
0.0, _named
0.0, _names
0.0, _nancy
0.0, _narrative
0.07743804621178553, _narrator
0.0, _nation
0.01734781774855513, _national
0.0, _nationally
0.0, _nations
0.0, _natural
0.0, _nature
0.0, _navy
0.0, _nbc
0.0, _necessarily
0.023182294085508412, _needed
0.0, _negative
0.0, _neighborhood
0.04273576569401093, _network
0.0, _networks
0.0, _nevada
0.0, _news
0.0, _newspaper
0.0, _nice
0.0, _night
0.0, _nixon
0.0, _nomination
0.0, _nominee
0.0, _nominees
0.0259156169699037, _north
0.0, _northern
0.0, _note
0.0, _noted
0.0, _notes
0.0, _noting
0.0, _nov
0.0, _november
0.0, _nuclear
0.0, _number
0.0, _numbers
0.0, _nytimes
0.06386207166124164, _obama
