modelName, defualt, Stopwords and no stemmer, no stopwords and yes stemmer, stemmer and stopwords
attributes, 2015, 2006, 2035, 2007
correctly classified, 511.0, 527.0, 511.0, 519.0
incorrectly classified, 223.0, 207.0, 223.0, 215.0
kappa score, 0.3815712914755511, 0.4194946013891967, 0.3843069400037616, 0.4024295115984943
precision, 0.49572649572649574, 0.5190615835777126, 0.49577464788732395, 0.5071633237822349
recall, 0.7909090909090909, 0.8045454545454546, 0.8, 0.8045454545454546


modelName, defualt, Stopwords and no stemmer, no stopwords and yes stemmer, stemmer and stopwords
attributes, 2050, 2006, 2051, 2080
correctly classified, 151.0, 157.0, 150.0, 157.0
incorrectly classified, 69.0, 63.0, 70.0, 63.0
kappa score, 0.3586276829474396, 0.4137055837563452, 0.3489473239198443, 0.4130103337286125
precision, 0.6621621621621622, 0.68, 0.6577181208053692, 0.6776315789473685
recall, 0.8376068376068376, 0.8717948717948718, 0.8376068376068376, 0.8803418803418803
