modelName, defualt, Stopwords and no stemmer, no stopwords and yes stemmer, stemmer and stopwords
attributes, 2015, 2006, 2035, 2007
correctly classified, 519.0, 552.0, 517.0, 526.0
incorrectly classified, 215.0, 182.0, 217.0, 208.0
kappa score, 0.3325861704377245, 0.4183936470342377, 0.3280486673022892, 0.3518983902737215
precision, 0.5098039215686274, 0.5818965517241379, 0.5058365758754864, 0.5238095238095238
recall, 0.5909090909090909, 0.6136363636363636, 0.5909090909090909, 0.6


modelName, defualt, Stopwords and no stemmer, no stopwords and yes stemmer, stemmer and stopwords
attributes, 2050, 2006, 2051, 2080
correctly classified, 157.0, 161.0, 158.0, 158.0
incorrectly classified, 63.0, 59.0, 62.0, 62.0
kappa score, 0.42925382968209513, 0.4654916817657716, 0.4379892871858261, 0.4386369248497818
precision, 0.7596153846153846, 0.7788461538461539, 0.7619047619047619, 0.7669902912621359
recall, 0.6752136752136753, 0.6923076923076923, 0.6837606837606838, 0.6752136752136753
